,City Name,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),UTC Datetime
0,Novaya Malykla,54.21,49.93,50.2,86,100,15.93,1565582600
1,Lebu,8.96,38.73,55.05,97,100,1.03,1565582600
2,Saint-Joseph,43.56,6.97,77,88,44,2.24,1565582601
3,Dunedin,-45.87,170.5,48,76,64,10,1565582488
4,Yellowknife,62.45,-114.38,59,67,20,3.36,1565582601
5,Rikitea,-23.12,-134.97,72.87,84,100,17.2,1565582602
6,Hami,42.84,93.51,70,91,0,5.7,1565582602
7,Luena,-11.78,19.91,52.35,50,0,2.75,1565582602
8,Bubaque,11.28,-15.83,77.74,88,100,18.84,1565582603
9,Chokurdakh,70.62,147.9,57.57,51,10,13.04,1565582603
10,Butaritari,3.07,172.79,82.24,75,100,9.1,1565582603
11,Ahipara,-35.17,173.16,60.01,100,89,30.38,1565582604
12,Bredasdorp,-34.53,20.04,54,71,6,11.41,1565582604
13,Tuktoyaktuk,69.44,-133.03,46.4,87,90,35.57,1565582604
14,Punta Arenas,-53.16,-70.91,26.6,73,0,8.05,1565582605
15,Busselton,-33.64,115.35,71.01,34,0,21.59,1565582605
16,East London,-33.02,27.91,55.4,76,0,8.05,1565582605
17,Alamos,-36.9,-62.36,46.24,43,0,7.65,1565582606
18,Miraflores,-16.39,-71.52,51.8,25,0,3.36,1565582537
19,Ushuaia,-54.81,-68.31,32,94,20,13.87,1565582606
20,Vaitape,-16.52,-151.75,79.35,81,0,12.59,1565582606
21,Chuy,-33.69,-53.46,49.84,93,39,7.18,1565582562
22,Mataura,-46.19,168.86,45,88,44,7,1565582607
23,Arraial Do Cabo,-22.97,-42.02,70.17,90,0,5.08,1565582607
24,Tasiilaq,65.61,-37.64,37.4,100,0,6.93,1565582608
25,Barrow,-38.31,-60.23,45.7,52,0,7.23,1565582608
26,Atuona,-9.8,-139.03,79.72,79,18,23.2,1565582608
27,Dikson,73.51,80.55,40.47,89,100,11.1,1565582608
28,Ponta Do Sol,-20.63,-46,65.14,61,0,5.03,1565582609
29,Benjamin Hill,30.17,-111.1,81,82,4,8.21,1565582609
30,Emba,34.81,32.42,73.4,56,20,6.93,1565582609
31,Kodiak,39.95,-94.76,78.8,94,75,9.17,1565582610
32,New Norfolk,-42.78,147.06,55.4,58,75,10.29,1565582610
33,Okha,53.59,142.95,63.34,68,98,9.98,1565582610
34,Luderitz,-26.65,15.16,55.4,76,0,12.75,1565582527
35,Dubbo,-32.25,148.6,53.6,62,0,8.05,1565582612
36,Aleksandrovka,47.64,38.79,62.62,73,10,3.27,1565582612
37,Ubinskoye,55.31,79.68,64.6,58,7,8.55,1565582613
38,Georgetown,6.8,-58.16,77,94,40,4.7,1565582404
39,Nikolskoye,59.7,30.79,61,93,75,2.24,1565582614
40,Naze,5.43,7.07,72.34,96,100,2.55,1565582614
41,Ereymentau,51.62,73.1,80.44,32,100,7.07,1565582614
42,Sao Joao Da Barra,-21.64,-41.05,68.74,96,56,3.49,1565582615
43,El Reno,35.53,-97.96,90,45,1,17.22,1565582615
44,Kapaa,22.08,-159.32,87.8,66,75,5.82,1565582616
45,America Dourada,-11.46,-41.44,62.44,92,10,6.51,1565582616
46,Fortuna,38.18,-1.13,82.4,20,0,9.17,1565582616
47,Inhambane,-23.87,35.38,62.97,82,0,8.52,1565582616
48,Jamestown,-33.21,138.6,50.92,58,49,6.29,1565582398
49,Kodinsk,58.6,99.18,56.14,90,100,8.55,1565582617
50,Thompson,55.74,-97.86,57.2,62,20,3.36,1565582617
51,Fairbanks,64.84,-147.72,69.8,40,1,9.17,1565582617
52,Haines Junction,60.75,-137.51,61,50,100,3.49,1565582618
53,Broken Hill,-31.97,141.45,53.6,45,0,13.87,1565582618
54,Port Lincoln,-34.72,135.86,52.17,65,100,8.95,1565582618
55,Upernavik,72.79,-56.15,44.07,66,81,9.08,1565582619
56,Saint-Philippe,45.36,-73.48,73.4,68,90,4.7,1565582619
57,Geraldton,49.72,-86.95,59,58,5,4.7,1565582619
58,Hilo,19.71,-155.08,82.4,65,20,8.05,1565582620
59,Santa Cruz De La Palma,28.68,-17.76,73.4,69,40,12.75,1565582620
60,Portland,43.66,-70.25,66.2,77,1,4.7,1565582620
61,Edinburg,26.3,-98.16,87.8,70,1,11.41,1565582586
62,Avarua,-21.21,-159.78,77,73,96,10.29,1565582621
